submission_pk,User,Prediction score,Duration
1814,reference4,0.8093 (1),0.00 (13),
1808,reference2,0.8064 (2),0.00 (12),
1793,reference3,0.7877 (3),6.01 (2),
2317,reference5,0.7728 (4),8.01 (1),
1790,reference1,0.7687 (5),5.01 (4),
1915,Zhengying,0.7663 (6),4.01 (8),
766,friend,0.6638 (7),4.02 (5),
2315,guyon,0.6638 (7),0.00 (9),
2114,vision,0.6638 (7),0.00 (11),
2319,reference0,0.6638 (7),4.01 (6),
2979,egalite,0.6638 (7),4.01 (7),
2984,solidarite,0.6638 (7),5.01 (3),
2990,fraternite,0.6638 (7),0.00 (10),
